<6> 21.06.2019 14:17:25 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 21.06.2019 14:17:43 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 21.06.2019 14:48:30 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 21.06.2019 14:49:00 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 21.06.2019 15:07:44 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 21.06.2019 15:08:00 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 21.06.2019 15:46:59 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 21.06.2019 15:47:14 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 21.06.2019 15:53:31 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 21.06.2019 15:53:44 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 21.06.2019 15:55:47 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 21.06.2019 15:56:12 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 21.06.2019 16:05:55 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 21.06.2019 16:06:11 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 24.06.2019 09:59:19 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 24.06.2019 09:59:34 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 24.06.2019 10:23:50 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 24.06.2019 10:24:07 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 24.06.2019 12:55:26 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 24.06.2019 12:55:56 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 24.06.2019 17:08:28 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 24.06.2019 17:08:49 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 24.06.2019 17:27:28 Section=GENERAL, Key=LANGUAGE, Value=2, data=SPGENERAL.LANGUAGE=2
<6> 24.06.2019 17:27:45 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.09.2019 10:18:33 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.09.2019 11:33:25 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 15.06.2020 16:42:16 Section=GENERAL, Key=LIGHTOFFTIME, Value=500, data=SPGENERAL.LIGHTOFFTIME=500
<6> 15.06.2020 16:43:40 Section=GENERAL, Key=LIGHTOFFTIME, Value=0, data=SPGENERAL.LIGHTOFFTIME=0
<6> 14.09.2020 11:00:46 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 01.11.2020 16:56:05 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 12.11.2020 16:49:19 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 30.08.2021 14:05:01 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 14.09.2021 12:08:47 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
